k,inertia,silhouette_score,min_cluster_size,min_cluster_share,max_cluster_share,cluster_size_summary,meets_min_share_rule,selected
3,19671.679491913892,0.6859044690010159,658,0.019090724461078713,0.6115995009719442,"{""0"": 21080, ""1"": 12729, ""2"": 658}",True,True
4,14793.199653930173,0.6877834910328005,6,0.00017407955435634086,0.6114544346766472,"{""0"": 21075, ""1"": 12728, ""2"": 658, ""3"": 6}",False,False
5,12255.56006216654,0.6308676675875631,6,0.00017407955435634086,0.6110192357907563,"{""0"": 6109, ""1"": 21060, ""2"": 658, ""3"": 6634, ""4"": 6}",False,False
