feature_name,mean_abs_shap,mean_signed_shap,importance_share,rank
categorical__order_state_normalized_pensilvania,0.03311647,-0.033095326,0.0021829125,83
categorical__Type_PAYMENT,0.031960145,0.031960145,0.002106692,84
categorical__order_country_normalized_kenia,0.03110364,-0.03110364,0.0020502345,85
numeric_continuous__order_week_of_year,0.030794345,-0.011080358,0.002029847,86
categorical__order_state_normalized_cidade_de_maputo,0.029578686,-0.029578686,0.0019497152,87
categorical__order_state_normalized_badenwurtemberg,0.027922217,0.027922217,0.001840527,88
categorical__order_state_normalized_vornezh,0.027608564,0.027608564,0.0018198523,89
categorical__order_state_normalized_basileaciudad,0.027226428,-0.027226428,0.0017946633,90
categorical__order_state_normalized_victoria,0.027225878,0.027225878,0.001794627,91
categorical__order_country_normalized_colombia,0.026332995,0.024708731,0.0017357715,92
categorical__order_country_normalized_cuba,0.024018107,-0.024018107,0.0015831828,93
categorical__order_state_normalized_huehuetenango,0.02339356,0.02339356,0.0015420151,94
categorical__product_category_key_17_cleats,0.023084559,0.023084559,0.0015216469,95
categorical__order_state_normalized_manisa,0.023023525,0.023023525,0.0015176238,96
categorical__order_state_normalized_ivanovo,0.022463592,-0.022463592,0.0014807151,97
categorical__Type_CASH,0.021549331,0.021549331,0.0014204505,98
categorical__Type_TRANSFER,0.02073533,0.0025115134,0.0013667947,99
categorical__order_state_normalized_sajonia,0.020560285,-0.020560285,0.0013552563,100
categorical__customer_state_normalized_or,0.02046022,-0.02046022,0.0013486604,101
categorical__order_state_normalized_alejandra,0.02006767,-0.02006767,0.0013227849,102
categorical__customer_segment_normalized_home_office,0.020029511,0.0156338,0.0013202697,103
binary_flags__is_standard_shipping,0.019044269,-0.016411716,0.0012553262,104
categorical__market_normalized_pacific_asia,0.01887296,-0.01887296,0.0012440342,105
categorical__order_state_normalized_san_fernando,0.018765831,0.018765831,0.0012369727,106
categorical__order_state_normalized_pinar_del_ro,0.018317943,-0.018317943,0.0012074496,107
categorical__order_state_normalized_alsaciachampaaardenaslorena,0.018022804,0.018022804,0.0011879951,108
categorical__order_state_normalized_cabo_oriental,0.017703526,-0.017703526,0.0011669495,109
categorical__order_state_normalized_luanda,0.01711544,-0.01711544,0.0011281852,110
categorical__order_state_normalized_valenciana,0.016942006,-0.016942006,0.001116753,111
categorical__order_state_normalized_jilin,0.016457887,0.016457887,0.0010848418,112
categorical__order_region_normalized_oceania,0.015695168,-0.015695168,0.0010345662,113
categorical__order_state_normalized_bogot,0.015419795,0.015419795,0.0010164146,114
categorical__order_state_normalized_distrito_capital,0.015025166,-0.015025166,0.0009904022,115
categorical__order_state_normalized_nueva_york,0.014962744,0.003802325,0.0009862875,116
categorical__customer_state_normalized_tx,0.014513604,0.013423894,0.00095668196,117
categorical__order_state_normalized_lacio,0.014151759,-0.014151759,0.0009328305,118
categorical__order_state_normalized_kaduna,0.0140694715,0.0140694715,0.0009274064,119
binary_flags__is_same_day_or_next_day_shipping,0.013894922,0.013894922,0.00091590075,120
categorical__customer_state_normalized_mi,0.013709601,-0.013709601,0.0009036851,121
categorical__order_state_normalized_kentucky,0.0135767795,0.0135767795,0.00089493,122
categorical__order_state_normalized_queensland,0.01340565,-0.01340565,0.0008836498,123
categorical__customer_state_normalized_va,0.013357,-0.013357,0.00088044297,124
categorical__product_department_key_5_golf,0.013323504,-0.013323504,0.00087823503,125
categorical__order_state_normalized_chongqing,0.013137642,-0.013137642,0.0008659837,126
categorical__order_state_normalized_renania_del_nortewestfalia,0.0128917545,0.0128917545,0.00084977574,127
categorical__order_state_normalized_riau,0.012317596,0.012317596,0.0008119294,128
categorical__order_state_normalized_santa_fe,0.012084514,0.012084514,0.0007965655,129
categorical__order_state_normalized_maryland,0.011847158,0.01163644,0.00078091986,130
categorical__order_state_normalized_valparaso,0.01151962,-0.01151962,0.0007593298,131
categorical__customer_state_normalized_nm,0.011215769,0.009612547,0.0007393011,132
categorical__order_state_normalized_brandenburgo,0.010546712,-0.010546712,0.0006951994,133
categorical__customer_country_normalized_ee_uu,0.010537457,-0.009440453,0.00069458934,134
categorical__order_state_normalized_saskatchewan,0.010418686,0.010418686,0.0006867604,135
categorical__order_state_normalized_castilla_y_len,0.009930885,-0.009930885,0.00065460644,136
categorical__order_region_normalized_western_europe,0.009284761,-0.009284761,0.00061201636,137
categorical__order_state_normalized_calabarzn,0.008795322,0.008795322,0.0005797544,138
categorical__order_country_normalized_marruecos,0.008380971,-0.008380971,0.0005524419,139
categorical__order_country_normalized_rumania,0.008161631,-0.008161631,0.0005379839,140
categorical__order_country_normalized_blgica,0.0075048073,0.0075048073,0.0004946885,141
categorical__order_region_normalized_south_asia,0.0074267928,0.0074267928,0.0004895461,142
categorical__Type_DEBIT,0.006930545,0.0024411194,0.00045683535,143
categorical__order_season_spring,0.0069042426,-0.0069042426,0.00045510157,144
categorical__order_state_normalized_bagdad,0.0066410424,-0.0066410424,0.00043775243,145
categorical__order_state_normalized_nueva_jersey,0.006481013,0.00080546836,0.00042720386,146
numeric_continuous__order_month,0.0064179297,-0.0024288918,0.00042304568,147
categorical__customer_state_normalized_md,0.006231186,0.006231186,0.00041073625,148
categorical__order_state_normalized_panam,0.0059813894,-0.0059813894,0.00039427058,149
categorical__order_state_normalized_oregn,0.005592634,-0.0050911605,0.0003686453,150
categorical__order_region_normalized_eastern_europe,0.0054492983,-0.005388244,0.00035919715,151
categorical__order_state_normalized_jiangsu,0.005439958,-0.0049966755,0.00035858148,152
categorical__order_region_normalized_south_america,0.0053747664,0.0053747664,0.0003542843,153
numeric_continuous__order_year,0.005330397,-0.005330397,0.0003513596,154
categorical__order_state_normalized_sancti_spritus,0.0049171834,0.0049171834,0.00032412214,155
categorical__order_state_normalized_auverniardanoalpes,0.0047041303,-0.0047041303,0.0003100785,156
categorical__customer_state_normalized_il,0.004260363,-0.004260363,0.00028082702,157
binary_flags__order_is_weekend,0.0039351936,-0.0039351936,0.0002593931,158
categorical__customer_country_normalized_puerto_rico,0.003763807,-0.003763807,0.00024809592,159
categorical__order_country_normalized_alemania,0.0036898926,-0.0036898926,0.00024322378,160
categorical__market_normalized_africa,0.0033330075,0.0033330075,0.00021969926,161
categorical__order_country_normalized_indonesia,0.0025911885,-0.0025911885,0.00017080136,162
categorical__order_region_normalized_central_america,0.0024830785,0.0024830785,0.00016367515,163
categorical__order_region_normalized_eastern_asia,0.0019101298,0.0019101298,0.00012590854,164
categorical__order_region_normalized_west_of_usa,0.001333303,-0.001333303,8.78863e-05,165
categorical__order_country_normalized_egipto,0.00026630447,0.00026630447,1.7553784e-05,166
categorical__market_normalized_latam,0.00012116179,-0.00012116179,7.986528e-06,167
binary_flags__customer_zipcode_available,0.0,0.0,0.0,168
binary_flags__order_zipcode_available,0.0,0.0,0.0,169
binary_flags__customer_order_country_match,0.0,0.0,0.0,170
binary_flags__customer_order_state_match,0.0,0.0,0.0,171
binary_flags__geo_coordinates_available,0.0,0.0,0.0,172
categorical__order_season_fall,0.0,0.0,0.0,173
categorical__order_season_summer,0.0,0.0,0.0,174
categorical__order_season_winter,0.0,0.0,0.0,175
categorical__shipping_speed_tier_economy,0.0,0.0,0.0,176
categorical__shipping_speed_tier_expedited,0.0,0.0,0.0,177
categorical__shipping_mode_normalized_standard_class,0.0,0.0,0.0,178
categorical__product_category_key_11_fitness_accessories,0.0,0.0,0.0,179
categorical__product_category_key_12_boxing_&_mma,0.0,0.0,0.0,180
categorical__product_category_key_13_electronics,0.0,0.0,0.0,181
categorical__product_category_key_18_men's_footwear,0.0,0.0,0.0,182
categorical__product_category_key_24_women's_apparel,0.0,0.0,0.0,183
categorical__product_category_key_26_girls'_apparel,0.0,0.0,0.0,184
categorical__product_category_key_29_shop_by_sport,0.0,0.0,0.0,185
categorical__product_category_key_32_golf_apparel,0.0,0.0,0.0,186
categorical__product_category_key_33_golf_shoes,0.0,0.0,0.0,187
categorical__product_category_key_35_golf_gloves,0.0,0.0,0.0,188
categorical__product_category_key_36_golf_balls,0.0,0.0,0.0,189
categorical__product_category_key_37_electronics,0.0,0.0,0.0,190
categorical__product_category_key_3_baseball_&_softball,0.0,0.0,0.0,191
categorical__product_category_key_40_accessories,0.0,0.0,0.0,192
categorical__product_category_key_41_trade-in,0.0,0.0,0.0,193
categorical__product_category_key_43_camping_&_hiking,0.0,0.0,0.0,194
categorical__product_category_key_44_hunting_&_shooting,0.0,0.0,0.0,195
categorical__product_category_key_45_fishing,0.0,0.0,0.0,196
categorical__product_category_key_46_indoor/outdoor_games,0.0,0.0,0.0,197
categorical__product_category_key_48_water_sports,0.0,0.0,0.0,198
categorical__product_category_key_5_lacrosse,0.0,0.0,0.0,199
categorical__product_category_key_6_tennis_&_racquet,0.0,0.0,0.0,200
categorical__product_category_key_7_hockey,0.0,0.0,0.0,201
categorical__product_category_key_9_cardio_equipment,0.0,0.0,0.0,202
categorical__product_department_key_2_fitness,0.0,0.0,0.0,203
categorical__product_department_key_3_footwear,0.0,0.0,0.0,204
categorical__product_department_key_4_apparel,0.0,0.0,0.0,205
categorical__product_department_key_6_outdoors,0.0,0.0,0.0,206
categorical__product_department_key_7_fan_shop,0.0,0.0,0.0,207
categorical__customer_state_normalized_al,0.0,0.0,0.0,208
categorical__customer_state_normalized_ar,0.0,0.0,0.0,209
categorical__customer_state_normalized_az,0.0,0.0,0.0,210
categorical__customer_state_normalized_ct,0.0,0.0,0.0,211
categorical__customer_state_normalized_dc,0.0,0.0,0.0,212
categorical__customer_state_normalized_de,0.0,0.0,0.0,213
categorical__customer_state_normalized_fl,0.0,0.0,0.0,214
categorical__customer_state_normalized_ga,0.0,0.0,0.0,215
categorical__customer_state_normalized_hi,0.0,0.0,0.0,216
categorical__customer_state_normalized_ia,0.0,0.0,0.0,217
categorical__customer_state_normalized_id,0.0,0.0,0.0,218
categorical__customer_state_normalized_in,0.0,0.0,0.0,219
categorical__customer_state_normalized_ky,0.0,0.0,0.0,220
categorical__customer_state_normalized_la,0.0,0.0,0.0,221
categorical__customer_state_normalized_mt,0.0,0.0,0.0,222
categorical__customer_state_normalized_nc,0.0,0.0,0.0,223
categorical__customer_state_normalized_nd,0.0,0.0,0.0,224
categorical__customer_state_normalized_nj,0.0,0.0,0.0,225
categorical__customer_state_normalized_nv,0.0,0.0,0.0,226
categorical__customer_state_normalized_oh,0.0,0.0,0.0,227
categorical__customer_state_normalized_ok,0.0,0.0,0.0,228
categorical__customer_state_normalized_pr,0.0,0.0,0.0,229
categorical__customer_state_normalized_ri,0.0,0.0,0.0,230
categorical__customer_state_normalized_sc,0.0,0.0,0.0,231
categorical__customer_state_normalized_ut,0.0,0.0,0.0,232
categorical__customer_state_normalized_wa,0.0,0.0,0.0,233
categorical__customer_state_normalized_wi,0.0,0.0,0.0,234
categorical__customer_state_normalized_wv,0.0,0.0,0.0,235
categorical__market_normalized_europe,0.0,0.0,0.0,236
categorical__market_normalized_usca,0.0,0.0,0.0,237
categorical__order_country_normalized_afganistn,0.0,0.0,0.0,238
categorical__order_country_normalized_albania,0.0,0.0,0.0,239
categorical__order_country_normalized_angola,0.0,0.0,0.0,240
categorical__order_country_normalized_arabia_saud,0.0,0.0,0.0,241
categorical__order_country_normalized_argelia,0.0,0.0,0.0,242
categorical__order_country_normalized_argentina,0.0,0.0,0.0,243
categorical__order_country_normalized_armenia,0.0,0.0,0.0,244
categorical__order_country_normalized_australia,0.0,0.0,0.0,245
categorical__order_country_normalized_austria,0.0,0.0,0.0,246
categorical__order_country_normalized_azerbaiyn,0.0,0.0,0.0,247
categorical__order_country_normalized_banglads,0.0,0.0,0.0,248
categorical__order_country_normalized_barbados,0.0,0.0,0.0,249
categorical__order_country_normalized_belice,0.0,0.0,0.0,250
categorical__order_country_normalized_benn,0.0,0.0,0.0,251
categorical__order_country_normalized_bielorrusia,0.0,0.0,0.0,252
categorical__order_country_normalized_bolivia,0.0,0.0,0.0,253
categorical__order_country_normalized_bosnia_y_herzegovina,0.0,0.0,0.0,254
categorical__order_country_normalized_botsuana,0.0,0.0,0.0,255
categorical__order_country_normalized_brasil,0.0,0.0,0.0,256
categorical__order_country_normalized_bulgaria,0.0,0.0,0.0,257
categorical__order_country_normalized_burkina_faso,0.0,0.0,0.0,258
categorical__order_country_normalized_butn,0.0,0.0,0.0,259
categorical__order_country_normalized_camboya,0.0,0.0,0.0,260
categorical__order_country_normalized_camern,0.0,0.0,0.0,261
categorical__order_country_normalized_chile,0.0,0.0,0.0,262
categorical__order_country_normalized_china,0.0,0.0,0.0,263
categorical__order_country_normalized_chipre,0.0,0.0,0.0,264
categorical__order_country_normalized_corea_del_sur,0.0,0.0,0.0,265
categorical__order_country_normalized_costa_de_marfil,0.0,0.0,0.0,266
categorical__order_country_normalized_costa_rica,0.0,0.0,0.0,267
categorical__order_country_normalized_croacia,0.0,0.0,0.0,268
categorical__order_country_normalized_dinamarca,0.0,0.0,0.0,269
categorical__order_country_normalized_ecuador,0.0,0.0,0.0,270
categorical__order_country_normalized_el_salvador,0.0,0.0,0.0,271
categorical__order_country_normalized_emiratos_rabes_unidos,0.0,0.0,0.0,272
categorical__order_country_normalized_eslovaquia,0.0,0.0,0.0,273
categorical__order_country_normalized_eslovenia,0.0,0.0,0.0,274
categorical__order_country_normalized_espaa,0.0,0.0,0.0,275
categorical__order_country_normalized_estados_unidos,0.0,0.0,0.0,276
categorical__order_country_normalized_estonia,0.0,0.0,0.0,277
categorical__order_country_normalized_filipinas,0.0,0.0,0.0,278
categorical__order_country_normalized_finlandia,0.0,0.0,0.0,279
categorical__order_country_normalized_francia,0.0,0.0,0.0,280
categorical__order_country_normalized_gabn,0.0,0.0,0.0,281
categorical__order_country_normalized_georgia,0.0,0.0,0.0,282
categorical__order_country_normalized_ghana,0.0,0.0,0.0,283
categorical__order_country_normalized_grecia,0.0,0.0,0.0,284
categorical__order_country_normalized_guadalupe,0.0,0.0,0.0,285
categorical__order_country_normalized_guatemala,0.0,0.0,0.0,286
categorical__order_country_normalized_guayana_francesa,0.0,0.0,0.0,287
categorical__order_country_normalized_guinea,0.0,0.0,0.0,288
categorical__order_country_normalized_guineabissau,0.0,0.0,0.0,289
categorical__order_country_normalized_guyana,0.0,0.0,0.0,290
categorical__order_country_normalized_hait,0.0,0.0,0.0,291
categorical__order_country_normalized_honduras,0.0,0.0,0.0,292
categorical__order_country_normalized_hong_kong,0.0,0.0,0.0,293
categorical__order_country_normalized_india,0.0,0.0,0.0,294
categorical__order_country_normalized_irak,0.0,0.0,0.0,295
categorical__order_country_normalized_irlanda,0.0,0.0,0.0,296
categorical__order_country_normalized_irn,0.0,0.0,0.0,297
categorical__order_country_normalized_israel,0.0,0.0,0.0,298
categorical__order_country_normalized_italia,0.0,0.0,0.0,299
categorical__order_country_normalized_jamaica,0.0,0.0,0.0,300
categorical__order_country_normalized_japn,0.0,0.0,0.0,301
categorical__order_country_normalized_jordania,0.0,0.0,0.0,302
