model_name,feature_name,mean_abs_shap_value,mean_signed_shap_value,input_slice,sample_size,final_test_used,importance_share,rank
ao2_gradient_boosting_regressor,numeric_continuous__order_day_of_week,6.8315873,-0.3757422,development_inner_validation,5000,False,0.004399932,49
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_ca,6.3708444,-6.3708444,development_inner_validation,5000,False,0.0041031875,50
ao2_gradient_boosting_regressor,categorical__order_state_normalized_andaluca,6.349024,6.349024,development_inner_validation,5000,False,0.004089134,51
ao2_gradient_boosting_regressor,categorical__order_state_normalized_matagalpa,6.145832,-6.1306353,development_inner_validation,5000,False,0.0039582667,52
ao2_gradient_boosting_regressor,numeric_continuous__order_hour,6.131622,-2.7672899,development_inner_validation,5000,False,0.003949114,53
ao2_gradient_boosting_regressor,categorical__order_country_normalized_azerbaiyn,6.071876,-6.071876,development_inner_validation,5000,False,0.0039106347,54
ao2_gradient_boosting_regressor,categorical__order_state_normalized_santa_fe,6.0666933,-6.0666933,development_inner_validation,5000,False,0.003907297,55
ao2_gradient_boosting_regressor,categorical__order_state_normalized_la_pampa,6.056641,-6.056641,development_inner_validation,5000,False,0.0039008225,56
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_wa,5.8672276,-5.838027,development_inner_validation,5000,False,0.0037788292,57
ao2_gradient_boosting_regressor,categorical__order_state_normalized_ica,5.772041,-5.772041,development_inner_validation,5000,False,0.0037175235,58
ao2_gradient_boosting_regressor,categorical__order_state_normalized_veracruz,5.7267303,-5.7267303,development_inner_validation,5000,False,0.003688341,59
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_dc,5.7082014,-5.7082014,development_inner_validation,5000,False,0.0036764075,60
ao2_gradient_boosting_regressor,categorical__order_state_normalized_central,5.503486,-5.503486,development_inner_validation,5000,False,0.003544559,61
ao2_gradient_boosting_regressor,categorical__order_state_normalized_taranaki,5.1721992,-5.1721992,development_inner_validation,5000,False,0.0033311914,62
ao2_gradient_boosting_regressor,categorical__order_state_normalized_magallanes_y_antrtica_chilena,4.9433713,-4.9433713,development_inner_validation,5000,False,0.003183813,63
ao2_gradient_boosting_regressor,categorical__order_state_normalized_dzce,4.9031897,-4.9031897,development_inner_validation,5000,False,0.003157934,64
ao2_gradient_boosting_regressor,categorical__product_department_key_7_fan_shop,4.8271623,-4.8271623,development_inner_validation,5000,False,0.003108968,65
ao2_gradient_boosting_regressor,categorical__order_state_normalized_tnh_cn_th,4.6883297,-4.6883297,development_inner_validation,5000,False,0.0030195517,66
ao2_gradient_boosting_regressor,categorical__product_category_key_33_golf_shoes,4.620574,-4.620574,development_inner_validation,5000,False,0.0029759132,67
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_la,4.5799026,-4.5799026,development_inner_validation,5000,False,0.0029497186,68
ao2_gradient_boosting_regressor,categorical__order_country_normalized_guineabissau,4.5141244,-4.5141244,development_inner_validation,5000,False,0.0029073537,69
ao2_gradient_boosting_regressor,categorical__product_category_key_43_camping_&_hiking,4.300657,-4.300657,development_inner_validation,5000,False,0.0027698684,70
ao2_gradient_boosting_regressor,categorical__order_country_normalized_cuba,4.2417474,-4.2417474,development_inner_validation,5000,False,0.0027319274,71
ao2_gradient_boosting_regressor,categorical__shipping_mode_normalized_second_class,4.2318163,-4.2318163,development_inner_validation,5000,False,0.002725531,72
ao2_gradient_boosting_regressor,categorical__order_state_normalized_henan,3.8806741,-3.3119628,development_inner_validation,5000,False,0.0024993755,73
ao2_gradient_boosting_regressor,categorical__order_state_normalized_chittagong,3.6718524,-3.6718524,development_inner_validation,5000,False,0.0023648825,74
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_de,3.5659454,-3.5659454,development_inner_validation,5000,False,0.0022966722,75
ao2_gradient_boosting_regressor,categorical__order_state_normalized_antofagasta,3.4331257,-3.4331257,development_inner_validation,5000,False,0.0022111288,76
ao2_gradient_boosting_regressor,categorical__order_state_normalized_camagey,3.3980355,2.3849466,development_inner_validation,5000,False,0.0021885287,77
ao2_gradient_boosting_regressor,categorical__order_state_normalized_copperbelt,3.300704,-3.300704,development_inner_validation,5000,False,0.0021258418,78
ao2_gradient_boosting_regressor,categorical__order_state_normalized_bay_of_plenty,3.2965734,-3.2965734,development_inner_validation,5000,False,0.0021231815,79
ao2_gradient_boosting_regressor,numeric_continuous__order_quarter,3.224993,1.2789439,development_inner_validation,5000,False,0.0020770794,80
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_co,2.975504,-2.975504,development_inner_validation,5000,False,0.0019163943,81
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_fl,2.9269283,0.45152202,development_inner_validation,5000,False,0.0018851088,82
ao2_gradient_boosting_regressor,categorical__order_state_normalized_virginia_occidental,2.8981495,-2.2340786,development_inner_validation,5000,False,0.0018665736,83
ao2_gradient_boosting_regressor,numeric_continuous__order_day_of_month,2.8398194,-1.6637434,development_inner_validation,5000,False,0.0018290058,84
ao2_gradient_boosting_regressor,categorical__order_state_normalized_chinandega,2.8025594,-2.8025594,development_inner_validation,5000,False,0.0018050082,85
