slice_type,slice_value,model_name,candidate_name,row_count,rmse,mae,mean_error,median_absolute_error,wrong_profit_sign_share,is_unstable_small_slice
absolute_error_band,elevated_error_p50_p75,ao2_gradient_boosting_regressor,conservative_baseline,7220,45.1131680083583,44.33738039452964,27.81879507340831,43.255510305,0.18102493074792245,False
absolute_error_band,elevated_error_p50_p75,ao2_ridge_baseline,fixed_alpha_1_0,7220,46.386074036178165,45.58450323365986,26.731756288824222,44.48220059989606,0.26024930747922437,False
absolute_error_band,extreme_error_gt_p90,ao2_gradient_boosting_regressor,conservative_baseline,2889,273.7614914968462,227.31704976631394,-145.10495738103808,163.3028157,0.702319141571478,False
absolute_error_band,extreme_error_gt_p90,ao2_ridge_baseline,fixed_alpha_1_0,2889,276.2344293766083,230.39348192039697,-145.37844360926582,168.2828688184342,0.7147802007615092,False
absolute_error_band,large_error_p75_p90,ao2_gradient_boosting_regressor,conservative_baseline,4332,81.92397848288087,80.79960312073615,37.66640396556995,78.55855924000001,0.26385041551246535,False
absolute_error_band,large_error_p75_p90,ao2_ridge_baseline,fixed_alpha_1_0,4332,83.79534864862032,82.62835486689434,38.56056906647265,80.49407364501305,0.32132963988919666,False
absolute_error_band,typical_error_le_p50,ao2_gradient_boosting_regressor,conservative_baseline,14442,16.21817163371302,13.413866563415317,5.74659816084919,12.111828900999999,0.08468356183354106,False
absolute_error_band,typical_error_le_p50,ao2_ridge_baseline,fixed_alpha_1_0,14442,17.446336839202893,14.772024315183238,5.441700785362621,13.963002454962858,0.1377233070211882,False
actual_profit_band,extreme_high_profit,ao2_gradient_boosting_regressor,conservative_baseline,1446,121.60392085674398,119.41731722911479,119.41731722911479,115.15329919999999,0.006915629322268326,False
actual_profit_band,extreme_high_profit,ao2_ridge_baseline,fixed_alpha_1_0,1446,121.05172271312942,118.1207000354101,118.1207000354101,114.60832339416228,0.015214384508990318,False
actual_profit_band,extreme_low_profit,ao2_gradient_boosting_regressor,conservative_baseline,1446,362.8569752595598,321.0170948434993,-321.0170948434993,267.2729389,0.9937759336099585,False
actual_profit_band,extreme_low_profit,ao2_ridge_baseline,fixed_alpha_1_0,1446,364.66123830046666,322.4929271389976,-322.4929271389976,269.23763924262175,0.9522821576763485,False
actual_profit_band,high_positive_profit,ao2_gradient_boosting_regressor,conservative_baseline,4432,68.02101232375033,66.34073264543999,66.34073264543999,65.05762346,0.00631768953068592,False
actual_profit_band,high_positive_profit,ao2_ridge_baseline,fixed_alpha_1_0,4432,68.32887678001822,64.99660363765959,64.98388729153655,63.685330553469996,0.029783393501805054,False
actual_profit_band,loss_or_negative_profit,ao2_gradient_boosting_regressor,conservative_baseline,3919,73.35527174962618,62.26609836057592,-62.175795757218935,52.677515060000005,0.9918346516968615,False
actual_profit_band,loss_or_negative_profit,ao2_ridge_baseline,fixed_alpha_1_0,3919,75.24027253525199,63.16160739519171,-62.34631612287274,54.9900565124846,0.8887471293697372,False
actual_profit_band,low_positive_profit,ao2_gradient_boosting_regressor,conservative_baseline,11781,14.615797372793967,11.556358354380443,5.06370644961701,9.666778090000001,0.025974025974025976,False
actual_profit_band,low_positive_profit,ao2_ridge_baseline,fixed_alpha_1_0,11781,21.34278181537208,15.96447772874183,5.73957545990691,12.981336685543873,0.16356845768610476,False
actual_profit_band,medium_positive_profit,ao2_gradient_boosting_regressor,conservative_baseline,5859,37.41673916501227,35.76125629998549,35.724403551704214,36.17247883,0.005803038061102577,False
actual_profit_band,medium_positive_profit,ao2_ridge_baseline,fixed_alpha_1_0,5859,39.35751812615291,35.02481436046236,34.625245104007675,34.64337923278935,0.06554019457245264,False
actual_profit_quantile,q1_lowest_profit,ao2_gradient_boosting_regressor,conservative_baseline,7223,171.26072515113796,100.69809636918677,-100.43610098092428,47.512265459999995,0.7654714107711478,False
actual_profit_quantile,q1_lowest_profit,ao2_ridge_baseline,fixed_alpha_1_0,7223,172.63788232624674,102.74165088294845,-100.47947707511479,49.78939540998008,0.7483040287968988,False
actual_profit_quantile,q2_lower_mid_profit,ao2_gradient_boosting_regressor,conservative_baseline,7219,11.172946936245776,8.676708425108187,3.4728607628829478,7.220472390000001,0.011220390635822136,False
actual_profit_quantile,q2_lower_mid_profit,ao2_ridge_baseline,fixed_alpha_1_0,7219,19.401583018953087,14.020301544350911,4.12762830275884,11.166499292065495,0.15085191854827537,False
actual_profit_quantile,q3_upper_mid_profit,ao2_gradient_boosting_regressor,conservative_baseline,7227,30.451553588274077,28.281860295608965,27.947532089744843,28.28737424,0.0062266500622665,False
actual_profit_quantile,q3_upper_mid_profit,ao2_ridge_baseline,fixed_alpha_1_0,7227,33.395879507983345,28.591143928859267,27.504348524701502,27.544903098436755,0.0852359208523592,False
actual_profit_quantile,q4_highest_profit,ao2_gradient_boosting_regressor,conservative_baseline,7214,78.65416902063969,72.94278795389519,72.94278795389519,65.633335305,0.0065151095092874966,False
actual_profit_quantile,q4_highest_profit,ao2_ridge_baseline,fixed_alpha_1_0,7214,78.75561664719818,71.5368440127865,71.50407155035053,64.93096527515762,0.029803160521208762,False
