diagnostic,value
residual_mean,0.9627362709037213
residual_standard_deviation,95.61711855489999
residual_median,15.384748461801756
residual_min,-1122.616023845459
residual_max,221.71818162045898
absolute_error_mean,52.646255065500654
absolute_error_median,31.395399094682617
wrong_profit_sign_share,0.19741716580687602
residual_p10,-70.23911132671289
absolute_error_p10,4.281057071724121
residual_p25,-7.400901317567627
absolute_error_p25,12.1118288044729
residual_p50,15.384748461801756
absolute_error_p50,31.395399094682617
residual_p75,42.47272396328857
absolute_error_p75,61.587747566264646
residual_p90,72.19985122680662
absolute_error_p90,110.37245330876951
