model_name,threshold,row_count,positive_class_rate,predicted_positive_rate,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
ao1_logistic_regression_baseline,0.3,27643,0.5701624281011468,0.6918930651521181,0.6400897152986289,0.6519397678552755,0.7911300044413425,0.7148221400521684,5225,6657,3292,12469
ao1_logistic_regression_baseline,0.35,27643,0.5701624281011468,0.5479868321093948,0.6691024852584742,0.71831264853446,0.6903749762070934,0.7040667766669902,7615,4267,4880,10881
ao1_logistic_regression_baseline,0.4,27643,0.5701624281011468,0.468943312954455,0.677820786455884,0.7644063874103216,0.6287037624516211,0.6899456900153181,8828,3054,5852,9909
ao1_logistic_regression_baseline,0.45,27643,0.5701624281011468,0.4213363238432876,0.6818724451036429,0.799089894393406,0.5905082164837256,0.6791447752481027,9542,2340,6454,9307
ao1_logistic_regression_baseline,0.5,27643,0.5701624281011468,0.3879824910465579,0.6855623485149948,0.8295571095571096,0.5644946386650593,0.671826625386997,10054,1828,6864,8897
ao1_logistic_regression_baseline,0.55,27643,0.5701624281011468,0.3635278370654415,0.6883840393589697,0.8556075231366305,0.5455237611826661,0.6662533901588532,10431,1451,7163,8598
ao1_logistic_regression_baseline,0.6,27643,0.5701624281011468,0.3478638353290164,0.6830662373837861,0.8639767054908486,0.527123913457268,0.6547661268077393,10574,1308,7453,8308
ao1_logistic_regression_baseline,0.65,27643,0.5701624281011468,0.32688203161740764,0.674384111710017,0.8740593182824259,0.5011103356386016,0.6370125418397387,10744,1138,7863,7898
ao1_logistic_regression_baseline,0.7,27643,0.5701624281011468,0.29063415692942157,0.6556451904641319,0.8884739855613643,0.45289004504790303,0.5999579743643623,10986,896,8623,7138
ao1_xgboost_classifier,0.3,27643,0.5701624281011468,0.9413956517020584,0.6061932496472886,0.5936671406063867,0.9802043017575027,0.7394696534558682,1308,10574,312,15449
ao1_xgboost_classifier,0.35,27643,0.5701624281011468,0.41543971348985276,0.7180841442679883,0.8469174503657262,0.6170928240593871,0.7139658652963846,10124,1758,6035,9726
ao1_xgboost_classifier,0.4,27643,0.5701624281011468,0.3924682559780053,0.7184820750280361,0.8677297446769288,0.5972971258168898,0.7075535512965051,10447,1435,6347,9414
ao1_xgboost_classifier,0.45,27643,0.5701624281011468,0.37734688709619074,0.7198567449263829,0.884287220784201,0.5852420531692152,0.7043372021991449,10675,1207,6537,9224
ao1_xgboost_classifier,0.5,27643,0.5701624281011468,0.37452519625221575,0.7212314148247296,0.8890176760359316,0.5839730981536705,0.7049092440836333,10733,1149,6557,9204
ao1_xgboost_classifier,0.55,27643,0.5701624281011468,0.371920558550085,0.7208696595883225,0.8912557144246669,0.5813717403718038,0.7037093925197758,10764,1118,6598,9163
ao1_xgboost_classifier,0.6,27643,0.5701624281011468,0.36917121875339143,0.7197843938791014,0.8926996570308672,0.5780090095806104,0.7016868212277594,10787,1095,6651,9110
ao1_xgboost_classifier,0.65,27643,0.5701624281011468,0.36606012372029084,0.7169627030351264,0.8921830220377508,0.5728062940168771,0.6976816074188563,10791,1091,6733,9028
ao1_xgboost_classifier,0.7,27643,0.5701624281011468,0.3596932315595268,0.7134898527656188,0.8942974957256361,0.5641773999111731,0.6918767507002801,10831,1051,6869,8892
