summary_level,split_partition,row_count,percentage_of_total,min_order_date_DateOrders,max_order_date_DateOrders,target_min_Order_Profit_Per_Order,target_max_Order_Profit_Per_Order,target_avg_Order_Profit_Per_Order,target_missing_count,min_chronological_row_number,max_chronological_row_number,total_ao2_gold_rows,development_boundary_row_number,split_formula_used,ordering_columns_used,final_test_untouched,validation_subpartition_decision,source_ao2_gold_path,partition_output_path,policy_reference_document,execution_timestamp_utc
overall,overall,180519,1,2015-01-01T00:00:00,2018-01-31T23:38:00,-4274.97998,911.7999878,21.97498864,0,1,180519,180519,144415,row_number <= floor(total_rows * 0.80),order_date_DateOrders; Order_Id; Order_Item_Id,true,deferred: no materialized validation subpartition is defined in the frozen policy,/Volumes/workspace/default/raw_data/gold/ao2_profitability_analytical_table,/Volumes/workspace/default/raw_data/gold/ao2_profitability_chronological_partitions,docs/chronological_split_policy.md,2026-05-24T19:29:13.771455+00:00
partition,development,144415,0.7999988921,2015-01-01T00:00:00,2017-04-22T15:17:00,-1374.859985,249.9799957,21.16664206,0,1,144415,180519,144415,row_number <= floor(total_rows * 0.80),order_date_DateOrders; Order_Id; Order_Item_Id,true,deferred: no materialized validation subpartition is defined in the frozen policy,/Volumes/workspace/default/raw_data/gold/ao2_profitability_analytical_table,/Volumes/workspace/default/raw_data/gold/ao2_profitability_chronological_partitions,docs/chronological_split_policy.md,2026-05-24T19:29:13.771455+00:00
partition,test,36104,0.2000011079,2017-04-22T15:17:00,2018-01-31T23:38:00,-4274.97998,911.7999878,25.20835255,0,144416,180519,180519,144415,row_number <= floor(total_rows * 0.80),order_date_DateOrders; Order_Id; Order_Item_Id,true,deferred: no materialized validation subpartition is defined in the frozen policy,/Volumes/workspace/default/raw_data/gold/ao2_profitability_analytical_table,/Volumes/workspace/default/raw_data/gold/ao2_profitability_chronological_partitions,docs/chronological_split_policy.md,2026-05-24T19:29:13.771455+00:00
